region,sui_per_100k_2015,happiness_score_2015,economy_gdp_per_capita_2015,human_development_index
Australia and New Zealand,11.899999999999999,7.285,1.29188,0.9239999999999999
Central and Eastern Europe,12.082758620689658,5.235,0.960758275862069,0.7782758620689654
Eastern Asia,12.200000000000001,5.333666666666666,0.99635,0.7816666666666666
Latin America and Caribbean,9.3,6.124150000000001,0.8782185,0.7158
Middle East and Northern Africa,4.529411764705883,5.616999999999999,1.1411241176470588,0.7549999999999999
North America,11.9,7.273,1.3604,0.9139999999999999
Southeastern Asia,7.6625000000000005,5.509499999999999,0.8556962499999999,0.69825
Southern Asia,9.885714285714286,4.580857142857142,0.5604857142857143,0.5845714285714285
Sub-Saharan Africa,12.064516129032256,4.187322580645161,0.4167587096774193,0.5121935483870967
Western Europe,9.733333333333333,6.796333333333334,1.3043712499999998,0.8912916666666667
